LATITUDE,LONGITUDE,Decade Founded,Area,Name Of Congregation,Year Founded
42.471111,-70.891537,2000,SWAMPSCOTT,Congregation Shirat Hayam of the North Shore,2005
42.2494845,-70.9065077,2000,HINGHAM,Chabad Ohr Shalom of the South Shore,2000
42.543337,-71.0045179,2000,PEABODY,Chabad of Peabody Jewish Center,2003
42.4262949,-71.0578341,2000,MALDEN,Congregation Agudas Achim-Ezrath Israel,2003
42.0708501,-71.1085349,2000,EASTON,Temple Israel South Shore,2000
42.318396,-71.114975,2000,JAMAICA PLAIN,Nehar Shalom Community Synagogue,2005
42.340331,-71.117488,2000,BROOKLINE,Chai Center Chabad of Brookline,2003
42.609461,-71.123726,2000,ANDOVER,Congregation Beth Israel,2004
42.338846,-71.141001,2000,BROOKLINE,Congregation Chesed V’emes,2005
42.3031252,-71.151158,2000,CHESTNUT HILL,Chabad of Chestnut Hill,2000
42.3285873,-71.1920435,2000,NEWTON,Chabad of Newton Centre,2004
42.3121946,-71.2023662,2000,NEWTON,Beth Menachem Chabad,2000
42.0392205,-71.2178959,2000,MANSFIELD,Chabad Lubavitch of Mansfield and Bristol County,2005
42.2752302,-71.2520053,2000,NEEDHAM,Chabad Jewish Center,2000
42.361892,-71.265852,2000,WALTHAM,Chabad House,2001
42.2967824,-71.3021232,2000,WELLESLEY,Wellesley-Weston Chabad Center,2000
42.5819094,-71.4194445,2000,WESTFORD,Chabad of Neshoba Vally,2005
42.365333,-71.442775,2000,SUDBURY,Chabad Center of Sudbury,2006
42.5762749,-71.4538333,2000,WESTFORD,Temple Shir Hadash,2002
42.1526391,-71.5127562,2000,MILFORD,Chabad of Greater Milford,2000
42.2675575,-71.6139464,2000,WESTBOROUGH,Lubavitcher Chabad of Westboro,2001
42.323887,-72.6568727,2000,NORTHAMPTON,Chabad-Lubavitch of Northampton,2000
,,2000,*,*,*
42.371183,-71.109901,1990,CAMBRIDGE,Chabad of Cambridge,1998
42.369596,-71.114429,1990,CAMBRIDGE,Chabad Lubavitch of Cambridge,1997
42.608599,-71.12227,1990,ANDOVER,Tifereth Israel,1990
42.670892,-71.151502,1990,ANDOVER,Chabad Lubavitch of Merrimack Valley,1992
42.346301,-71.2259167,1990,NEWTON,Congregation Dorshei Tzedek,1991
42.4636717,-71.2342549,1990,LEXINGTON,Chabad Center,1990
42.3771004,-71.3596734,1990,WAYLAND,Congregation Or Atid,1991
42.2850827,-71.3939373,1990,NATICK,Chabad Lubavitch Center,1993
42.483528,-71.416355,1990,ACTON,Chabad Center,1999
42.2457265,-71.4758415,1990,ASHLAND,"Shaarei Shalom, Reform Jewish Congregation of Ashland",1995
42.1413,-71.5214046,1990,MILFORD,Congregation Beth Israel,1992
42.2867625,-71.6196953,1990,WESTBOROUGH,Beth Tikvah Synagogue,1996
,,1990,*,*,*
41.606552,-70.569769,1980,FALMOUTH,Falmouth Jewish Congregation,1981
42.040513,-71.0918511,1980,EASTON,Temple Chayai Shalom,1980
42.339149,-71.139597,1980,BROOKLINE,Beth Abraham/Sephardic Congregation of New England,1980
42.453628,-71.141429,1980,WINCHESTER,Temple Shir Tikvah,1984
42.1353766,-71.1428163,1980,STOUGHTON,Shaloh House Chabad of the South Shore,1987
42.2989214,-71.1475464,1980,CHESTNUT HILL,Congregation Lubavitch,1980
42.342686,-71.156714,1980,BRIGHTON,Kehal Keervr,1984
42.131766,-71.173432,1980,SHARON,Chabad Torah Center/ Chabad in Sharon,1986
42.118145,-71.181226,1980,SHARON,Congregation Klal Yisrael of the South Shore,1987
42.2920735,-71.1885435,1980,NEWTON,Bet Hayekha,1987
42.329051,-71.195368,1980,NEWTON,Shir Hadash,1981
42.3378623,-71.1967682,1980,NEWTON,Sephardic Congregation of Newton,1988
42.3392749,-71.1976551,1980,NEWTON,Congregation Shaarei Tefillah,1983
42.378199,-71.235356,1980,WATERTOWN,Congregation B’nai Or of Boston,1980
42.2212182,-71.3194494,1980,DOVER,Bnai Jacob Synagogue,1982
42.289967,-71.693793,1980,SHREWSBURY,Melech Yisroel,1988
,,1980,*,*,*
42.1831718,-70.8852587,1970,HINGHAM,Congregation Sha’aray Shalom,1976
42.1545637,-71.0074665,1970,HOLBROOK,Temple Beth Shalom,1970
42.169796,-71.046053,1970,RANDOLPH,Young Israel Kehillath Jacob of Manhattan and Randolph,1973
42.152516,-71.052229,1970,RANDOLPH,Shomrei Emunah,1971
42.311711,-71.079997,1970,ROXBURY,Beth Hashina,1979
42.349361,-71.094324,1970,BACK BAY,Chabad House,1979
42.259174,-71.11547,1970,HYDE PARK,*,*
42.338148,-71.14871,1970,BRIGHTON,Congregation Chai Odom,1970
42.287826,-71.156724,1970,WEST ROXBURY,Temple Hillel Bnai Torah,1970
42.116804,-71.18226,1970,SHARON,Young Israel of Sharon,1972
42.3201732,-71.1903397,1970,NEWTON,Kahal B’raira,1976
42.3612557,-71.1979184,1970,NEWTON,Beth Hamedrash,1979
42.503401,-71.200589,1970,BURLINGTON,Temple Shalom Emeth,1973
42.3598925,-71.3487527,1970,WAYLAND,Temple Shir Tikva,1978
42.4630402,-71.3871774,1970,CONCORD,Congregation Kerem Shalom,1976
42.3611211,-71.4063871,1970,SUDBURY,Congregation B’nai Torah,1974
42.329129,-71.416243,1970,FRAMINGHAM,Congregation Bais Chabad,1978
42.1704477,-71.4752173,1970,HOLLISTON,Temple Beth Torah,1972
42.162812,-71.531445,1970,MILFORD,Beth Chaverim,1975
42.2808163,-71.6037509,1970,WESTBOROUGH,Congregation B’nai Shalom,1975
,,1970,*,*,*
42.471111,-70.891537,1960,SWAMPSCOTT,Temple Beth El,1966
42.253455,-71.0256449,1960,QUINCY,Adath Shalom,1961
42.18387,-71.055575,1960,RANDOLPH,Young Israel of Randolph,1968
42.365899,-71.065896,1960,WEST END,Boston Synagogue (aka Charles River Park Synagogue),1960
42.785621,-71.081973,1960,HAVERHILL,Congregation Anshe Sholom,1966
42.307817,-71.088288,1960,ROXBURY,Lubavitz Yeshiva Cong.,1960
42.285053,-71.093648,1960,MATTAPAN,Shaar Tselosa Avraham,1963
42.186698,-71.094085,1960,CANTON,Temple Beth David of the South Shore,1960
42.278258,-71.095332,1960,MATTAPAN,Chevra Shomrei Shabbos,1964
42.3693,-71.099302,1960,CAMBRIDGE,Temple Beth Shalom of Cambridge,1962
42.358588,-71.111303,1960,CAMBRIDGE,Congregation Eitz Chaim,1960
42.399794,-71.118188,1960,SOMERVILLE,Havurat Shalom Community,1968
42.338738,-71.13936,1960,BROOKLINE,Congregation Beth Pinchas New England Chassidic Center,1961
42.340614,-71.142672,1960,BRIGHTON,Sephardic Community of Greater Boston,1962
42.340209,-71.14286,1960,BRIGHTON,Congregation Beth David (Talner Cong.),1961
42.345086,-71.14465,1960,BRIGHTON,Congregation Kadimah-Toras Moshe,1960
42.347872,-71.154364,1960,BRIGHTON,Shaloh House (Beth Chomesh Synagogue),1962
42.287826,-71.156724,1960,WEST ROXBURY,Temple Beth David,1965
42.5784223,-71.1581807,1960,WILMINGTON,Temple Shalom,1965
42.299997,-71.177821,1960,NEWTON,Temple Beth Avodah,1963
42.701615,-71.1824931,1960,LAWRENCE,Temple Tifereth Anshai Sfard Sons of Israel,1960
42.3383611,-71.1968819,1960,NEWTON,Congregation Beth El-Atereth Israel,1965
42.268885,-71.268053,1960,NEEDHAM,Temple Aliyah,1965
42.634314,-71.3347695,1960,LOWELL,Montefiore Synagogue,1969
42.62463,-71.380399,1960,CHELMSFORD (N),Congregation Shalom,1967
42.3857252,-71.4234752,1960,SUDBURY,Congregation Beth El of the Sudbury River Valley,1962
42.46531,-71.457293,1960,ACTON,Congregation Beth Elohim,1969
42.376687,-72.501567,1960,AMHERST,Jewish Community of Amherst,1969
,,1960,*,*,*
42.485365,-70.873403,1950,MARBLEHEAD,Temple Sinai,1953
42.4855114,-70.8750814,1950,SWAMPSCOTT,Temple Sinai,1953
42.482767,-70.876795,1950,MARBLEHEAD,Temple Emanu-el,1955
42.287167,-70.878431,1950,HULL,Temple Beth Sholom of Nantasket,1955
42.5373732,-70.9597764,1950,PEABODY,Temple Ner Tamid,1959
42.5428497,-70.9777365,1950,PEABODY,Temple Beth Shalom of the North Shore,1959
42.220554,-71.005974,1950,BRAINTREE,Temple Bnai Shalom,1959
42.2574334,-71.0109894,1950,QUINCY,Temple Beth El,1951
42.1856809,-71.055011,1950,RANDOLPH,Temple Beth Am,1954
42.071312,-71.064069,1950,BROCKTON,Temple Beth Emunah,1951
42.4736874,-71.0866728,1950,STONEHAM,Temple Judea,1950
42.7702742,-71.0968649,1950,HAVERHILL,Beth Jacob Ahavas Achim,1958
42.344689,-71.120851,1950,BROOKLINE,Young Israel of Brookline,1953
42.137372,-71.170932,1950,SHARON,Temple Sinai of Sharon,1958
42.260246,-71.1818919,1950,DEDHAM,Temple Beth David,1957
42.701615,-71.1824931,1950,LAWRENCE,Tifereth Israel Anshai Sfard,1955
42.2082301,-71.2287788,1950,WESTWOOD,Temple Beth David,1957
42.4208166,-71.2291948,1950,LEXINGTON,Temple Emunah,1955
42.3424136,-71.2326957,1950,NEWTON,Temple Shalom of Newton,1950
42.298594,-71.233466,1950,NEEDHAM,Temple Beth Shalom,1953
42.3358735,-71.2418521,1950,NEWTON,Temple Reyim,1951
42.445111,-71.244418,1950,LEXINGTON,Temple Isaiah,1959
42.319386,-71.254406,1950,WELLESLEY,Temple Beth Elohim,1957
42.326302,-71.424016,1950,FRAMINGHAM,Temple Beth Sholom,1951
42.304292,-71.452144,1950,FRAMINGHAM,Temple Beth Am,1956
42.27464,-71.83238,1950,WORCESTER,"Congregation Shaarai Torah, Sons of Abraham",1959
42.29559,-71.840648,1950,WORCESTER,Temple Sinai,1958
42.59419,-72.2357,1950,ATHOL,Temple Israel,1950
,,1950,HINGHAM,Temple Beth Am,1950
41.7429526,-70.6534991,1940,ONSET,Congregation Beth Israel of Onset,1948
42.472054,-70.894595,1940,SWAMPSCOTT,Temple Israel of Marblehead & Swampscott,1946
42.4542938,-71.0667577,1940,MELROSE,Temple Beth Shalom,1940
42.250181,-71.067007,1940,MILTON,Temple Shalom of Milton,1943
42.361452,-71.067832,1940,WEST END,Beit Hamedrash Hagadol Beth Jacob,1941
42.286361,-71.086638,1940,DORCHESTER,(Yeshiva) Ohel Torah Cong.,1948
42.50156,-71.0870037,1940,WAKEFIELD,Temple Emmanuel,1946
42.269817,-71.104426,1940,MATTAPAN,(Yeshiva) Ohel Torah Cong.,1948
42.4277227,-71.1270855,1940,MEDFORD,Temple Shalom of Medford,1945
42.340032,-71.132383,1940,BROOKLINE,Temple Beth Zion,1945
42.345086,-71.14465,1940,BRIGHTON,Congregation Kadimah,1941
42.287826,-71.156724,1940,WEST ROXBURY,Temple Beth Torah,1949
42.620571,-71.334885,1940,LOWELL,Temple Emanuel of the Merrimack Valley,1949
42.293026,-71.395826,1940,NATICK,Temple Israel of Natick,1945
42.280718,-71.413254,1940,FRAMINGHAM,Temple Beth El,1943
42.353298,-71.575396,1940,MARLBOROUGH,Temple Emanuel,1940
42.55982,-71.583101,1940,AYER,Congregation Anshey Shalom,1948
42.25663,-71.7937,1940,WORCESTER,Shaarei Torah Sons of Abraham,1948
42.27189,-71.824284,1940,WORCESTER,"Yeshiva Synagogue Chabad and Tifereth Israel, Sons of Jacob",1942
42.2769,-71.83549,1940,WORCESTER,Congregation Beth Judah,1942
,,1940,VINEYARD HAVEN,Martha’s Vineyard Hebrew Center,1940
42.5205559,-70.8962306,1930,SALEM,Machzikay Hadas,1930
42.462354,-70.955434,1930,LYNN,Beth Jacob,1933
42.397867,-71.030271,1930,CHELSEA,Temple Emmanuel,1935
42.396152,-71.033465,1930,CHELSEA,Congregation Toras Chaim,1939
42.389907,-71.040834,1930,CHELSEA,Beth Joseph,1930
42.374166,-71.062412,1930,CHARLESTOWN,Kahal Chsidim,1936
42.424327,-71.063601,1930,MALDEN,Young Israel of Malden,1936
42.362461,-71.06687,1930,WEST END,Anshe Cahal Israel,1937
42.297141,-71.08151,1930,DORCHESTER,(Beth Hamedrash) Eisel Abraham,1933
42.301898,-71.082327,1930,DORCHESTER,Achanu B'nai Israel Sfard,1931
42.788371,-71.0842374,1930,HAVERHILL,Temple Emanu-El,1936
42.282606,-71.086128,1930,DORCHESTER,Cong. Beth Jacob Anshe Sfard,1934
42.286418,-71.086639,1930,DORCHESTER,Beth Aknosis Poali Israel Anshi Sephardic,1933
42.314916,-71.091513,1930,ROXBURY,Linas Hatzedek Anshei Sfard,1936
42.1346959,-71.1103222,1930,STOUGHTON,Ahavath Torah Congregation,1930
42.341997,-71.119333,1930,BROOKLINE,Temple Sinai,1939
42.3025301,-71.1518406,1930,CHESTNUT HILL,Temple Emeth,1939
42.339859,-71.152692,1930,BRIGHTON,Temple Bnai Moshe,1932
42.339886,-71.152712,1930,BRIGHTON,Temple Sinai,1939
42.390576,-71.157744,1930,BELMONT,Beth El Temple Center,1932
42.118042,-71.17803,1930,SHARON,Temple Israel of Sharon,1935
42.107466,-71.187356,1930,SHARON,Congregation/Temple Adath Sharon,1935
42.3389482,-71.1888644,1930,NEWTON,Temple Emanuel,1935
42.25485,-71.7903,1930,WORCESTER,Agudas Sons of Jacob,1935
42.2769,-71.83549,1930,WORCESTER,"Young Israel of Worcester, Congregation Beth Judah",1932
42.0685347,-72.0397692,1930,SOUTHBRIDGE,Congregation Ahavath Zion,1939
,,1930,*,*,*
42.2870387,-70.8776878,1920,HULL,Temple Israel of Nantasket,1920
42.5225541,-70.9233677,1920,PEABODY,Congregation Tifereth Israel-Sephardic,1922
42.460042,-70.953503,1920,LYNN,Chevra T'hilllim,1929
42.3695033,-70.9733572,1920,WINTHROP,Chevra Thillim,1925
42.3770655,-70.9765918,1920,WINTHROP,Congregation Tifereth Abraham Anshei Lubavitch,1923
42.08145,-71.027184,1920,BROCKTON,Congregation Beth Israel of Brockton,1922
42.395461,-71.031719,1920,CHELSEA,Temple Beth El,1927
42.391065,-71.034217,1920,CHELSEA,Congregation Shomrei Linas Hazedek Anshei Volyn,1923
42.375161,-71.036458,1920,EAST BOSTON,Sons of Jacob,1925
42.36478,-71.056046,1920,NORTH END,Tifereth Jerusalem,1927
42.4262949,-71.0578341,1920,MALDEN,Ezrath Israel (Anshi Sfard),1922
42.345557,-71.064356,1920,SOUTH END,Chevra Nagidi Tillum Anshe Sfard,1920
42.362554,-71.06506,1920,WEST END,West End Congregation,1920
42.363948,-71.068186,1920,WEST END,*,*
42.312747,-71.077841,1920,ROXBURY,Anshe Shepetovka Volin Nusach Sfard,1925
